  2.072,  1.901,  2.036,  2.139,  2.201,  2.068,  2.228,  2.144,  2.268,  2.077
  1.193,  1.886,  1.278,  1.217,  1.204,  1.456,  2.681,  1.216,  1.334,  1.174
  3.501,  3.986,  4.190,  3.203,  3.280,  3.650,  3.712,  7.637,  3.090,  6.325
  2.816,  2.699,  4.410,  2.986,  2.851,  2.873,  2.975,  3.041,  2.796,  2.890
  1.912,  1.924,  2.025,  2.042,  2.191,  2.110,  2.360,  2.305,  2.102,  2.092
  2.700,  2.769,  3.266,  2.853,  2.916,  2.884,  3.250,  3.094,  2.991,  3.836
  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR
  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR,  ERROR
  1.555,  1.625,  1.520,  1.583,  1.569,  2.105,  1.846,  1.830,  1.811,  1.715
  0.199,  0.249,  0.238,  0.242,  0.229,  0.207,  0.270,  0.259,  0.261,  0.207
  1.418,  1.530,  1.412,  1.611,  1.449,  1.709,  1.629,  1.569,  1.669,  1.652
  0.716,  0.726,  0.795,  0.710,  0.741,  1.571,  0.697,  0.843,  0.738,  0.764
  0.162,  0.158,  0.135,  0.154,  0.174,  0.168,  0.167,  0.165,  0.155,  0.176
  0.418,  0.373,  0.457,  0.424,  0.436,  0.454,  0.461,  0.458,  0.473,  0.466
  0.643,  0.649,  0.657,  0.657,  0.637,  0.716,  0.748,  0.682,  0.727,  0.706
  1.175,  1.391,  1.264,  1.433,  1.424,  1.359,  1.416,  1.324,  1.372,  1.362
  3.038,  2.915,  3.241,  3.088,  3.030,  3.082,  3.153,  3.122,  2.901,  3.118
  2.976,  3.091,  3.256,  3.026,  2.931,  3.110,  3.238,  5.274,  3.110,  3.055
  2.906,  2.931,  3.100,  2.798,  2.937,  3.067,  2.625,  3.115,  3.213,  3.050
  2.159,  2.365,  2.463,  2.066,  2.401,  2.034,  1.889,  2.080,  2.263,  2.700
 49.673, 46.242, 51.266, 52.169, 51.067, 47.263, 47.141, 52.567, 51.935, 50.355
  0.344,  0.339,  0.364,  0.320,  0.278,  0.343,  0.356,  0.348,  0.335,  0.279
  0.638,  0.663,  0.738,  0.606,  0.702,  0.648,  0.725,  0.645,  0.665,  0.618
  1.120,  1.047,  1.006,  1.125,  1.135,  1.215,  1.249,  1.224,  1.254,  1.171
  6.902,  6.927,  7.099,  7.041,  6.927,  7.289,  7.863,  7.692,  7.231,  7.241
  4.912,  4.933,  5.244,  4.802,  4.832,  5.997, 13.384,  6.084,  6.217,  6.129
  0.278,  0.244,  0.266,  0.243,  0.265,  0.276,  0.257,  0.258,  0.258,  0.258
  0.394,  0.380,  0.405,  0.803,  0.494,  0.424,  0.462,  0.438,  0.469,  0.434
  0.979,  0.968,  1.020,  1.003,  1.005,  0.960,  2.415,  2.130,  1.076,  1.055
  2.638,  2.459,  2.709,  2.451,  2.500,  2.493,  3.431,  2.555,  2.485,  2.525
  1.535,  1.534,  1.741,  1.633,  1.521,  1.614,  1.684,  1.713,  1.600,  1.643
  0.719,  0.715,  1.007,  0.755,  0.716,  0.790,  0.797,  0.782,  0.683,  0.700
  3.032,  3.130,  3.316,  3.274,  3.036,  2.609,  2.743,  2.684,  2.480,  2.663
  0.709,  0.705,  0.731,  0.659,  0.773,  0.651,  1.559,  0.787,  1.548,  0.864
  3.653,  3.730,  3.659,  3.559,  7.073,  3.852,  3.763,  3.938,  3.784,  7.264
  1.631,  1.596,  1.757,  1.642,  2.152,  1.551,  1.501,  1.489,  1.646,  1.672
  1.336,  1.306,  1.304,  1.352,  1.361,  3.231,  1.363,  1.406,  1.526,  1.441
  2.788,  3.265,  3.715,  3.014,  2.830,  2.907,  3.079,  2.999,  3.015,  2.899
  2.834,  3.022,  2.899,  2.953,  2.873,  2.973,  3.005,  3.127,  2.986,  3.056
  0.952,  0.891,  0.960,  0.920,  0.927,  0.997,  0.969,  2.214,  0.965,  1.015
  2.252,  2.274,  2.284,  2.483,  2.352,  2.057,  2.041,  2.105,  2.176,  2.151
  1.307,  1.380,  1.318,  1.275,  1.286,  1.327,  1.280,  1.334,  1.370,  1.364
  0.756,  1.485,  0.676,  0.841,  0.731,  0.729,  0.634,  0.745,  0.819,  0.730
  1.805,  1.765,  1.825,  2.175,  1.847,  1.965,  2.348,  1.944,  2.115,  1.999
  0.709,  0.699,  0.861,  0.728,  0.712,  0.727,  0.746,  0.765,  0.745,  0.733
  2.189,  2.050,  2.266,  2.534,  2.211,  2.279,  2.264,  2.262,  2.507,  2.312
  2.910,  2.943,  1.268,  3.186,  2.940,  2.950,  2.860,  4.235,  2.778,  2.719
  3.374,  2.729,  3.051,  3.177,  2.019,  3.388,  2.631,  6.053,  3.309,  2.975
  3.150,  3.114,  3.168,  3.261,  3.263,  3.059,  2.844,  3.098,  2.857,  3.048
  3.133,  3.383,  3.133,  3.062,  1.424,  3.256,  3.023,  1.447,  3.186,  3.059
  2.414,  2.423,  2.720,  2.229,  2.450,  2.732,  2.384,  2.320,  2.561,  2.469
  2.808,  2.553,  2.724,  2.278,  2.758,  2.618,  2.799,  2.844,  2.750,  2.857
  2.838,  2.883,  3.019,  3.208,  3.063,  2.820,  2.965,  3.040,  3.298,  2.818
  3.040,  2.830,  2.749,  6.234,  2.932,  3.130,  3.085,  2.986,  3.314,  2.738
  1.131,  1.101,  1.201,  1.269,  1.158,  0.859,  0.825,  0.945,  0.916,  0.883
  0.737,  0.358,  0.391,  0.382,  0.382,  0.414,  0.396,  0.834,  0.419,  0.406
  0.275,  0.262,  0.278,  0.277,  0.307,  0.277,  0.228,  0.285,  0.297,  0.302
  3.025,  6.206,  3.075,  3.096,  2.742,  2.789,  3.063,  2.509,  3.218,  1.194
  3.011,  3.356,  2.991,  3.283,  3.068,  3.004,  3.019,  3.151,  3.065,  6.827
  3.160,  3.376,  2.986,  2.997,  1.472,  3.006,  3.066,  3.081,  2.963,  2.938
  3.118,  2.728,  3.066,  3.027,  4.208,  7.172,  2.976,  3.080,  3.021,  3.053
  2.973,  2.584,  2.923,  3.116,  3.024,  1.208,  2.886,  6.535,  2.680,  3.039
  2.946,  3.546,  3.090,  6.029,  2.922,  2.989,  3.038,  3.019,  2.740,  2.694
  3.096,  3.408,  3.008,  6.091,  3.069,  3.054,  2.918,  7.089,  2.670,  1.379
  3.027,  3.064,  3.001,  7.033,  3.150,  3.032,  2.942,  3.613,  2.901,  1.247
  2.414,  2.592,  2.564,  2.626,  2.538,  2.404,  1.096,  1.036,  2.450,  2.494
  3.109,  3.014,  2.883,  2.813,  2.911,  2.949,  2.430,  3.486,  2.814,  2.979
  3.020,  2.975,  2.907,  5.613,  3.056,  3.379,  2.766,  1.407,  3.204,  3.065
  3.132,  2.907,  3.016,  3.104,  2.930,  3.133,  2.850,  3.098,  3.002,  3.034
  3.285,  3.350,  2.634,  3.148,  3.570,  2.827,  3.450,  2.830,  2.536,  3.322
  3.039,  1.328,  3.222,  3.119,  3.261,  2.798,  3.072,  2.871,  2.617,  2.988
  3.012,  3.122,  2.597,  3.133,  2.904,  3.160,  3.327,  1.148,  3.036,  3.373
  3.047,  2.692,  2.076,  2.770,  2.830,  3.344,  3.728,  3.015,  2.975,  3.055
  3.126,  3.434,  2.674,  2.914,  2.910,  2.909,  3.341,  2.815,  2.617,  2.984
  3.124,  3.235,  1.473,  2.973,  2.995,  3.319,  3.327,  4.123,  5.125,  2.867
  2.875,  2.722,  1.632,  3.103,  3.290,  3.214,  3.387,  2.553,  3.249,  3.206
  2.785,  3.210,  2.265,  2.653,  3.604,  3.057,  3.095,  3.172,  2.890,  2.767
  2.710,  3.245,  2.348,  2.385,  2.276,  3.344,  3.263,  4.062,  3.032,  3.179
  2.957,  2.895,  3.208,  3.023,  3.089,  3.125,  4.044,  3.367,  3.319,  3.267
  1.560,  1.507,  1.479,  1.536,  1.578,  1.783,  2.005,  1.980,  1.751,  1.832
  0.757,  0.826,  0.881,  0.709,  0.767,  0.671,  0.671,  0.700,  0.262,  0.717
  2.309,  0.969,  0.879,  0.872,  0.901,  0.918,  0.875,  1.004,  0.873,  0.829
  1.397,  1.505,  1.572,  1.625,  1.430,  1.627,  1.673,  1.418,  1.611,  1.488
  1.346,  1.415,  1.356,  1.346,  1.290,  1.264,  1.447,  1.430,  1.224,  1.193
  4.975,  2.639,  2.696,  2.608,  2.756,  2.669,  2.886,  2.633,  2.605,  2.713
  3.081,  7.728,  3.283,  3.156,  3.187,  3.095,  3.550,  3.485,  3.359,  3.246
  2.060,  2.289,  2.084,  2.177,  2.065,  2.359,  2.102,  2.350,  2.348,  2.279
  0.210,  0.266,  0.253,  0.322,  0.194,  0.225,  0.239,  0.210,  0.285,  0.221
  0.772,  0.726,  0.742,  0.799,  0.734,  0.749,  0.758,  0.767,  0.824,  0.753
  6.920,  3.406,  3.200,  3.145,  7.228,  2.744,  2.768,  2.896,  3.287,  2.813
  5.782,  6.429,  5.906,  5.898,  6.070,  6.149,  6.505,  6.081,  6.771,  6.273
  5.691,  5.343,  5.462,  5.444,  5.271,  5.426,  5.996,  5.775,  5.683,  5.483
  7.095,  7.686,  7.692,  8.280,  7.420,  7.222,  6.909,  7.284,  8.414,  6.891
  6.054,  5.776, 10.249,  5.861,  6.081,  6.581,  6.346,  6.081,  6.458,  6.195
  0.711,  2.205,  0.768,  0.721,  0.719,  0.821,  0.893,  0.777,  0.874,  0.904
  0.795,  0.689,  0.705,  0.661,  0.722,  0.812,  0.848,  0.849,  0.860,  0.819
  0.537,  0.633,  0.541,  0.554,  0.503,  1.432,  0.478,  0.498,  0.524,  0.449
  0.657,  0.552,  0.562,  0.624,  0.541,  0.486,  0.475,  0.494,  0.554,  0.512
  0.224,  0.332,  0.169,  0.333,  0.298,  0.310,  0.206,  0.267,  0.290,  0.251
  0.248,  0.354,  0.245,  0.273,  0.264,  0.313,  0.281,  0.682,  0.146,  0.226
  0.291,  0.398,  0.302,  0.293,  0.287,  0.525,  0.425,  0.399,  0.411,  0.362
  2.242,  2.094,  2.209,  2.220,  2.116,  2.154,  2.172,  2.708,  2.065,  2.093
  2.678,  2.704,  2.678,  2.903,  2.695,  2.704,  2.760,  2.695,  2.928,  2.602
  0.526,  0.473,  1.387,  0.505,  0.694,  0.556,  0.528,  0.507,  0.487,  0.488
  0.108,  0.125,  0.126,  0.190,  0.089,  0.159,  0.121,  0.072,  0.206,  0.204
